year-month,max,mean,min,std
2000-01-01,0.3010000142967328,0.1875000089057721,0.0160000007599592,0.1630000077420845
2000-02-01,0.5070000240812078,0.1940000092145055,0.040000001899898,0.0945000044885091
2000-03-01,1.017000048304908,0.235000011161901,0.0310000014724209,0.0720000034198165
2000-04-01,0.1850000087870285,0.082000003894791,0.0330000015674158,0.0450000021373853
2000-05-01,0.2280000108294189,0.1820000086445361,0.0270000012824311,0.1540000073146075
2000-08-01,0.2590000123018399,0.107500005105976,0.0220000010449439,0.0335000015911646
2000-09-01,0.2640000125393271,0.0780000037048012,0.0350000016624107,0.0260000012349337
2000-10-01,0.3300000156741589,0.1090000051772221,0.0420000019948929,0.0165000007837079
2000-11-01,0.3400000161491334,0.0580000027548521,0.0260000012349337,0.0230000010924413
2000-12-01,0.5470000259811059,0.1250000059371814,0.0350000016624107,0.0440000020898878
2001-01-01,0.9470000449800864,0.1955000092857517,0.0260000012349337,0.0550000026123598
2001-02-01,0.7900000375229865,0.3350000159116462,0.2230000105919316,0.0720000034198165
2001-03-01,0.7440000353381038,0.2620000124443322,0.0970000046072527,0.0850000040372833
2001-04-01,0.3260000154841691,0.1670000079320743,0.0990000047022476,0.0500000023748725
2001-05-01,0.4180000198539346,0.288000013679266,0.0930000044172629,0.1970000093569979
2001-06-01,0.3360000159591436,0.184000008739531,0.0890000042272731,0.0840000039897859
2001-07-01,0.3980000189039856,0.2740000130143016,0.0800000037997961,0.1940000092145055
2001-08-01,0.2190000104019418,0.1780000084545463,0.05100000242237,0.0900000042747706
2001-09-01,0.1990000094519928,0.0490000023273751,0.0080000003799796,0.0195000009262003
2001-10-01,0.3120000148192048,0.091000004322268,0.0670000031823292,0.0520000024698674
2001-11-01,0.4420000209938735,0.076500003633555,0.0250000011874362,0.0280000013299286
2001-12-01,0.2120000100694596,0.0700000033248215,0.0210000009974464,0.0120000005699694
2002-01-01,0.2870000136317685,0.107500005105976,0.0130000006174668,0.0460000021848827
2002-02-01,0.4970000236062333,0.2740000130143016,0.1620000076945871,0.0780000037048012
2002-03-01,0.5400000256486237,0.1970000093569979,0.1460000069346279,0.0660000031348317
2002-04-01,0.4200000199489295,0.195000009262003,0.0980000046547502,0.0720000034198165
2002-07-01,0.3090000146767124,0.235000011161901,0.0620000029448419,0.1560000074096024
2002-08-01,0.4910000233212486,0.1395000066258944,0.0490000023273751,0.029000001377426
2002-09-01,0.3050000144867226,0.056500002683606,0.0040000001899898,0.0205000009736977
2002-10-01,0.0880000041797757,0.0330000015674158,0.0240000011399388,
2002-11-01,0.1200000056996941,0.056500002683606,0.0230000010924413,0.0460000021848827
2002-12-01,0.740000035148114,0.0890000042272731,0.0630000029923394,0.0380000018049031
2003-01-01,0.2060000097844749,0.1240000058896839,0.0560000026598572,0.0320000015199184
2003-02-01,0.3430000162916258,0.1770000084070488,0.0930000044172629,0.0610000028973445
2003-03-01,0.6850000325357541,0.2510000119218603,0.1520000072196126,0.0620000029448419
2003-04-01,0.5900000280234963,0.3230000153416767,0.0890000042272731,0.2170000103069469
