year-month,max,mean,min,std
2000-01-01,1.017000048304908,0.2670000126818195,0.2690000127768144,0.0060000002849847
2000-02-01,0.4550000216113403,0.2045000097132288,0.1030000048922374,0.0580000027548521
2000-03-01,1.2700000603217632,0.2775000131805427,0.0980000046547502,0.1025000048684887
2000-04-01,0.8440000400878489,0.2755000130855478,0.1520000072196126,0.0980000046547502
2000-05-01,0.8650000410852954,0.4085000194027088,0.1670000079320743,0.107500005105976
2000-06-01,1.1670000554295257,0.7875000374042429,0.1660000078845769,0.4530000215163454
2000-07-01,0.6260000297334045,0.4635000220150687,0.1280000060796737,0.251500011945609
2000-08-01,0.585000027786009,0.4055000192602165,0.0680000032298266,0.2615000124205835
2000-09-01,0.6860000325832516,0.348000016529113,0.1200000056996941,0.1365000064834021
2000-10-01,0.4150000197114423,0.2200000104494393,0.0650000030873343,0.1170000055572018
2000-11-01,0.3670000174315646,0.1490000070771202,0.0620000029448419,0.0505000023986212
2000-12-01,0.9600000455975533,0.3805000180727802,0.2280000108294189,0.0550000026123598
2001-01-01,0.5670000269310549,0.2560000121593475,0.1350000064121559,0.0470000022323802
2001-02-01,0.6860000325832516,0.3455000164103694,0.1360000064596533,0.0935000044410117
2001-03-01,0.9570000454550608,0.3130000148667022,0.1260000059846788,0.113000005367212
2001-04-01,0.678000032203272,0.2655000126105733,0.1040000049397349,0.1135000053909607
2001-05-01,1.2440000590868294,0.6370000302558765,0.1350000064121559,0.3815000181202777
2001-07-01,0.7870000373804942,0.5640000267885625,0.1480000070296228,0.3555000168853439
2001-08-01,0.7350000349106267,0.4870000231312588,0.1200000056996941,0.2360000112093985
2001-09-01,0.4960000235587358,0.2960000140592456,0.0760000036098063,0.1555000073858536
2001-10-01,0.5310000252211466,0.2420000114943832,0.0890000042272731,0.1135000053909607
2001-11-01,0.5010000237962231,0.2180000103544443,0.1000000047497451,0.0775000036810524
2001-12-01,0.9210000437451528,0.2655000126105733,0.1500000071246177,0.0640000030398368
2002-01-01,0.760000036098063,0.3340000158641487,0.113000005367212,0.0755000035860575
2002-02-01,0.5730000272160396,0.271500012895558,0.0980000046547502,0.1315000062459148
2002-03-01,0.7060000335332006,0.2745000130380504,0.1120000053197145,0.065500003111083
2002-04-01,0.627000029780902,0.2985000141779892,0.1040000049397349,0.0970000046072527
2002-05-01,0.9100000432226808,0.3865000183577649,0.1820000086445361,0.1545000073383562
2002-06-01,1.112000052817166,0.7415000352193601,0.1810000085970387,0.421000019996427
2002-07-01,0.4680000222288072,0.3095000147004612,0.1010000047972425,0.1650000078370794
2002-08-01,1.192000056616962,0.4055000192602165,0.1650000078370794,0.2330000110669061
2002-09-01,0.4050000192364678,0.2705000128480606,0.0660000031348317,0.1265000060084276
2002-10-01,0.4490000213263556,0.2170000103069469,0.0680000032298266,0.1045000049634836
2002-11-01,0.6070000288309529,0.2600000123493373,0.1030000048922374,0.0840000039897859
2002-12-01,0.8760000416077673,0.3310000157216564,0.1570000074570998,0.1095000052009709
2003-01-01,0.7520000357180834,0.3040000144392252,0.1600000075995922,0.0690000032773241
2003-02-01,0.689000032725744,0.3315000157454051,0.1270000060321763,0.1185000056284479
2003-03-01,0.6390000303508714,0.3015000143204815,0.10200000484474,0.1500000071246177
2003-04-01,0.6170000293059275,0.3150000149616971,0.1300000061746686,0.1225000058184377
2003-05-01,0.7920000376179814,0.3695000175503082,0.1490000070771202,0.0810000038472935
2003-06-01,0.884000041987747,0.5430000257911161,0.1710000081220641,0.3235000153654255
2003-07-01,0.6830000324407592,0.5700000270735472,0.1350000064121559,0.3800000180490315
2003-08-01,0.6650000315858051,0.4015000190702267,0.1340000063646584,0.2440000115893781
2003-09-01,0.6120000290684402,0.2700000128243118,0.113000005367212,0.0885000042035244
2003-10-01,0.7730000367155299,0.271500012895558,0.1190000056521967,0.1260000059846788
2003-11-01,0.6940000329632312,0.2195000104256905,0.1390000066021457,0.0850000040372833
2003-12-01,0.8390000398503616,0.297000014106743,0.1760000083595514,0.0825000039185397
2004-01-01,0.6520000309683383,0.2075000098557211,0.1090000051772221,
2004-02-01,0.6250000296859071,0.2785000132280402,0.1270000060321763,0.0665000031585805
2004-03-01,0.6100000289734453,0.2410000114468857,0.1210000057471916,0.0730000034673139
2004-04-01,0.6970000331057236,0.3260000154841691,0.1570000074570998,0.0670000031823292
2004-05-01,0.9160000435076654,0.4015000190702267,0.1680000079795718,0.0895000042510218
2004-06-01,1.1490000545745715,0.421000019996427,0.1480000070296228,0.0900000042747706
2004-07-01,0.6790000322507694,0.5355000254348852,0.071000003372319,0.4165000197826884
2004-08-01,0.5810000275960192,0.3905000185477547,0.0860000040847808,0.2135000101407058
2004-09-01,0.5710000271210447,0.3070000145817175,0.1110000052722171,0.1480000070296228
2004-10-01,0.997000047354959,0.297000014106743,0.1810000085970387,0.0995000047259964
2004-11-01,0.9380000445526092,0.2890000137267634,0.1750000083120539,0.1150000054622069
2004-12-01,0.7750000368105248,0.3635000172653235,0.1460000069346279,0.1345000063884072
2005-01-01,0.5570000264560804,0.20400000968948,0.1450000068871304,0.0120000005699694
2005-02-01,0.5990000284509733,0.2355000111856497,0.113000005367212,0.0795000037760473
2005-03-01,0.6350000301608816,0.3540000168140977,0.1190000056521967,0.1070000050822272
2005-04-01,0.6690000317757949,0.2895000137505121,0.0980000046547502,0.0885000042035244
2005-05-01,0.9230000438401476,0.3815000181202777,0.2080000098794698,0.0210000009974464
2005-06-01,1.1760000558570027,0.5580000265035778,0.1810000085970387,0.3360000159591436
