year-month,max,mean,min,std
2000-01-01,0.5010000237962231,0.2900000137742609,0.1200000056996941,0.1370000065071508
2000-02-01,1.026000048732385,0.4430000210413709,0.2520000119693577,0.1070000050822272
2000-03-01,0.5550000263610855,0.3530000167666003,0.1040000049397349,0.1630000077420845
2000-04-01,0.4130000196164474,0.3090000146767124,0.0920000043697655,0.1000000047497451
2000-05-01,0.5630000267410651,0.3300000156741589,0.1720000081695616,0.1510000071721151
2000-06-01,0.4020000190939754,0.1940000092145055,0.1110000052722171,0.0750000035623088
2000-07-01,0.2540000120643526,0.2290000108769163,0.0280000013299286,0.1900000090245157
2000-08-01,0.2320000110194087,0.1370000065071508,0.060000002849847,0.0730000034673139
2000-09-01,0.4080000193789601,0.1650000078370794,0.1150000054622069,0.009000000427477
2000-10-01,0.3880000184290111,0.1340000063646584,0.0980000046547502,0.0140000006649643
2000-11-01,0.215000010211952,0.0700000033248215,0.0460000021848827,0.0150000007124617
2000-12-01,0.5970000283559784,0.1650000078370794,0.1470000069821253,0.0190000009024515
2001-01-01,0.9120000433176756,0.3880000184290111,0.2120000100694596,0.0900000042747706
2001-02-01,0.8980000426527113,0.359000017051585,0.164000007789582,0.0860000040847808
2001-03-01,0.8760000416077673,0.3880000184290111,0.1580000075045973,0.1340000063646584
2001-04-01,0.7070000335806981,0.3800000180490315,0.1850000087870285,0.1230000058421865
2001-06-01,0.1780000084545463,0.1090000051772221,0.0490000023273751,0.0650000030873343
2001-07-01,0.3970000188564881,0.1480000070296228,0.1230000058421865,0.009000000427477
2001-08-01,0.4530000215163454,0.1820000086445361,0.1120000053197145,0.0610000028973445
2001-09-01,0.1570000074570998,0.0740000035148114,0.0440000020898878,0.0040000001899898
2001-10-01,0.2330000110669061,0.0680000032298266,0.0530000025173649,0.0040000001899898
2001-11-01,0.2230000105919316,0.0770000036573037,0.05100000242237,0.0230000010924413
2001-12-01,0.7500000356230885,0.2160000102594494,0.1690000080270692,0.0210000009974464
